DATE,DATE,ASK PRICE,BID PRICE,OPT STRIKE PRICE,OPEN INTEREST,OPT EXERCISE PRICE,PRICE HIGH,PRICE LOW,OPENING PRICE,Instrument,exp_date,type
2018-05-11,2018-05-11,1615.0,1610.5,1100.0,702.0,1100,1612.75,1612.75,1612.75,SPX01191100C,2019-01-18,C
2018-05-11,2018-05-11,1.15,0.85,1100.0,420.0,1100,1.0,1.0,1.0,SPX01191100P,2019-01-18,P
2018-05-11,2018-05-11,1566.1,1561.5,1150.0,0.0,1150,1563.8,1563.8,1563.8,SPX01191150C,2019-01-18,C
2018-05-11,2018-05-11,1.25,0.95,1150.0,4.0,1150,1.1,1.1,1.1,SPX01191150P,2019-01-18,P
2018-05-11,2018-05-11,1517.1,1512.7,1200.0,0.0,1200,1514.9,1514.9,1514.9,SPX01191200C,2019-01-18,C
2018-05-11,2018-05-11,1.4,1.1,1200.0,1517.0,1200,1.25,1.25,1.25,SPX01191200P,2019-01-18,P
2018-05-11,2018-05-11,1443.8,1439.3,1275.0,0.0,1275,1441.55,1441.55,1441.55,SPX01191275C,2019-01-18,C
2018-05-11,2018-05-11,1.55,1.25,1275.0,2.0,1275,1.4,1.4,1.4,SPX01191275P,2019-01-18,P
2018-05-11,2018-05-11,1419.4,1414.8,1300.0,0.0,1300,1417.1,1417.1,1417.1,SPX01191300C,2019-01-18,C
2018-05-11,2018-05-11,1.65,1.35,1300.0,1502.0,1300,1.5,1.5,1.5,SPX01191300P,2019-01-18,P
2018-05-11,2018-05-11,1394.9,1390.5,1325.0,0.0,1325,1392.7,1392.7,1392.7,SPX01191325C,2019-01-18,C
2018-05-11,2018-05-11,1.75,1.45,1325.0,33.0,1325,1.6,1.6,1.6,SPX01191325P,2019-01-18,P
2018-05-11,2018-05-11,1346.1,1341.7,1375.0,0.0,1375,1343.9,1343.9,1343.9,SPX01191375C,2019-01-18,C
2018-05-11,2018-05-11,2.05,1.75,1375.0,34.0,1375,1.9,1.9,1.9,SPX01191375P,2019-01-18,P
2018-05-11,2018-05-11,1321.7,1317.3,1400.0,0.0,1400,1319.5,1319.5,1319.5,SPX01191400C,2019-01-18,C
2018-05-11,2018-05-11,2.2,2.05,1400.0,540.0,1400,2.125,2.125,2.125,SPX01191400P,2019-01-18,P
2018-05-11,2018-05-11,1297.4,1292.9,1425.0,0.0,1425,1295.15,1295.15,1295.15,SPX01191425C,2019-01-18,C
2018-05-11,2018-05-11,2.4,2.1,1425.0,0.0,1425,2.25,2.25,2.25,SPX01191425P,2019-01-18,P
2018-05-11,2018-05-11,1273.0,1268.5,1450.0,0.0,1450,1270.75,1270.75,1270.75,SPX01191450C,2019-01-18,C
2018-05-11,2018-05-11,2.6,2.35,1450.0,41.0,1450,2.475,2.475,2.475,SPX01191450P,2019-01-18,P
2018-05-11,2018-05-11,1248.6,1244.1,1475.0,0.0,1475,1246.35,1246.35,1246.35,SPX01191475C,2019-01-18,C
2018-05-11,2018-05-11,2.8,2.55,1475.0,0.0,1475,2.675,2.675,2.675,SPX01191475P,2019-01-18,P
2018-05-11,2018-05-11,1224.3,1219.7,1500.0,1.0,1500,1222.0,1222.0,1222.0,SPX01191500C,2019-01-18,C
2018-05-11,2018-05-11,3.0,2.75,1500.0,1524.0,1500,2.875,2.875,2.875,SPX01191500P,2019-01-18,P
2018-05-11,2018-05-11,1200.0,1195.4,1525.0,0.0,1525,1197.7,1197.7,1197.7,SPX01191525C,2019-01-18,C
2018-05-11,2018-05-11,3.3,3.0,1525.0,28.0,1525,3.15,3.15,3.15,SPX01191525P,2019-01-18,P
2018-05-11,2018-05-11,1175.7,1171.1,1550.0,0.0,1550,1173.4,1173.4,1173.4,SPX01191550C,2019-01-18,C
2018-05-11,2018-05-11,3.5,3.2,1550.0,112.0,1550,3.35,3.35,3.35,SPX01191550P,2019-01-18,P
2018-05-11,2018-05-11,1151.4,1146.9,1575.0,0.0,1575,1149.15,1149.15,1149.15,SPX01191575C,2019-01-18,C
2018-05-11,2018-05-11,3.8,3.5,1575.0,1.0,1575,3.65,3.65,3.65,SPX01191575P,2019-01-18,P
2018-05-11,2018-05-11,1127.2,1122.6,1600.0,0.0,1600,1124.9,1124.9,1124.9,SPX01191600C,2019-01-18,C
2018-05-11,2018-05-11,4.1,3.7,1600.0,13.0,1600,4.0,4.0,4.0,SPX01191600P,2019-01-18,P
2018-05-11,2018-05-11,1102.9,1098.4,1625.0,0.0,1625,1100.65,1100.65,1100.65,SPX01191625C,2019-01-18,C
2018-05-11,2018-05-11,4.4,4.0,1625.0,1000.0,1625,4.2,4.2,4.2,SPX01191625P,2019-01-18,P
2018-05-11,2018-05-11,1078.7,1074.2,1650.0,0.0,1650,1076.45,1076.45,1076.45,SPX01191650C,2019-01-18,C
2018-05-11,2018-05-11,4.7,4.3,1650.0,0.0,1650,4.5,4.5,4.5,SPX01191650P,2019-01-18,P
2018-05-11,2018-05-11,1054.5,1050.0,1675.0,0.0,1675,1052.25,1052.25,1052.25,SPX01191675C,2019-01-18,C
2018-05-11,2018-05-11,5.1,4.7,1675.0,1302.0,1675,4.9,4.9,4.9,SPX01191675P,2019-01-18,P
2018-05-11,2018-05-11,1006.2,1001.8,1725.0,1.0,1725,1004.0,1004.0,1004.0,SPX01191725C,2019-01-18,C
